id,source_id,tag_type,tag_key,tag_value,created_by,updated_by,created_at,updated_at,deleted_at,lang_type,,,,,,,,,
7569212233238970380,7569212233054421003,2,TargetType,文本,4381977727999450,4381977727999450,2025-11-05 20:09:16,2025-11-05 20:09:16,,zh-CN,,,,,,,,,
7569212233238986764,7569212233054421003,2,Objective,内容质量,4381977727999450,4381977727999450,2025-11-05 20:09:16,2025-11-05 20:09:16,,zh-CN,,,,,,,,,
7569212233239003148,7569212233054421003,2,BusinessScenario,AIGC,4381977727999450,4381977727999450,2025-11-05 20:09:16,2025-11-05 20:09:16,,zh-CN,,,,,,,,,
7569212233239019532,7569212233054421003,2,Name,相关性,4381977727999450,4381977727999450,2025-11-05 20:09:16,2025-11-05 20:09:16,,zh-CN,,,,,,,,,
7569212233239035916,7569212233054421003,2,Category,LLM,4381977727999450,4381977727999450,2025-11-05 20:09:16,2025-11-05 20:09:16,,zh-CN,,,,,,,,,
7569212370606620684,7569212370489180172,2,Name,简洁性,4381977727999450,4381977727999450,2025-11-05 20:09:48,2025-11-05 20:09:48,,zh-CN,,,,,,,,,
7569212370606637068,7569212370489180172,2,Category,LLM,4381977727999450,4381977727999450,2025-11-05 20:09:48,2025-11-05 20:09:48,,zh-CN,,,,,,,,,
7569212370606653452,7569212370489180172,2,TargetType,文本,4381977727999450,4381977727999450,2025-11-05 20:09:48,2025-11-05 20:09:48,,zh-CN,,,,,,,,,
7569212370606669836,7569212370489180172,2,Objective,内容质量,4381977727999450,4381977727999450,2025-11-05 20:09:48,2025-11-05 20:09:48,,zh-CN,,,,,,,,,
7569212370606686220,7569212370489180172,2,BusinessScenario,AIGC,4381977727999450,4381977727999450,2025-11-05 20:09:48,2025-11-05 20:09:48,,zh-CN,,,,,,,,,
7569212376218599435,7569212376155701259,2,Category,LLM,4381977727999450,4381977727999450,2025-11-05 20:09:49,2025-11-05 20:09:49,,zh-CN,,,,,,,,,
7569212376218615819,7569212376155701259,2,TargetType,文本,4381977727999450,4381977727999450,2025-11-05 20:09:49,2025-11-05 20:09:49,,zh-CN,,,,,,,,,
7569212376218632203,7569212376155701259,2,Objective,内容质量,4381977727999450,4381977727999450,2025-11-05 20:09:49,2025-11-05 20:09:49,,zh-CN,,,,,,,,,
7569212376218648587,7569212376155701259,2,BusinessScenario,AIGC,4381977727999450,4381977727999450,2025-11-05 20:09:49,2025-11-05 20:09:49,,zh-CN,,,,,,,,,
7569212376218664971,7569212376155701259,2,Name,正确性,4381977727999450,4381977727999450,2025-11-05 20:09:49,2025-11-05 20:09:49,,zh-CN,,,,,,,,,
7569212380417097740,7569212380270297099,2,Name,幻觉现象,4381977727999450,4381977727999450,2025-11-05 20:09:50,2025-11-05 20:09:50,,zh-CN,,,,,,,,,
7569212380417114124,7569212380270297099,2,Category,LLM,4381977727999450,4381977727999450,2025-11-05 20:09:50,2025-11-05 20:09:50,,zh-CN,,,,,,,,,
7569212380417130508,7569212380270297099,2,TargetType,文本,4381977727999450,4381977727999450,2025-11-05 20:09:50,2025-11-05 20:09:50,,zh-CN,,,,,,,,,
7569212380417146892,7569212380270297099,2,Objective,内容质量,4381977727999450,4381977727999450,2025-11-05 20:09:50,2025-11-05 20:09:50,,zh-CN,,,,,,,,,
7569212380417163276,7569212380270297099,2,BusinessScenario,客服助手,4381977727999450,4381977727999450,2025-11-05 20:09:50,2025-11-05 20:09:50,,zh-CN,,,,,,,,,
7569212380417179660,7569212380270297099,2,BusinessScenario,AIGC,4381977727999450,4381977727999450,2025-11-05 20:09:50,2025-11-05 20:09:50,,zh-CN,,,,,,,,,
7569212386171682827,7569212386024882187,2,BusinessScenario,AIGC,4381977727999450,4381977727999450,2025-11-05 20:09:51,2025-11-05 20:09:51,,zh-CN,,,,,,,,,
7569212386171699211,7569212386024882187,2,Name,有害性,4381977727999450,4381977727999450,2025-11-05 20:09:51,2025-11-05 20:09:51,,zh-CN,,,,,,,,,
7569212386171715595,7569212386024882187,2,Category,LLM,4381977727999450,4381977727999450,2025-11-05 20:09:51,2025-11-05 20:09:51,,zh-CN,,,,,,,,,
7569212386171731979,7569212386024882187,2,TargetType,文本,4381977727999450,4381977727999450,2025-11-05 20:09:51,2025-11-05 20:09:51,,zh-CN,,,,,,,,,
7569212386171748363,7569212386024882187,2,Objective,内容质量,4381977727999450,4381977727999450,2025-11-05 20:09:51,2025-11-05 20:09:51,,zh-CN,,,,,,,,,
7569212388604379147,7569212388470161419,2,Name,恶意性,4381977727999450,4381977727999450,2025-11-05 20:09:52,2025-11-05 20:09:52,,zh-CN,,,,,,,,,
7569212388604395531,7569212388470161419,2,Category,LLM,4381977727999450,4381977727999450,2025-11-05 20:09:52,2025-11-05 20:09:52,,zh-CN,,,,,,,,,
7569212388604411915,7569212388470161419,2,TargetType,文本,4381977727999450,4381977727999450,2025-11-05 20:09:52,2025-11-05 20:09:52,,zh-CN,,,,,,,,,
